session_id,model,phase,accuracy,precision,recall,f1,mcc
mmgkzukxb91bym,random,Full,0.530360531309298,0.530360531309298,1.0,0.6931184128952262,0.0
mmgkzukxb91bym,random,Ph 1,0.4924812030075188,0.4924812030075188,1.0,0.6599496221662469,0.0
mmgkzukxb91bym,random,Ph 2,0.6538461538461539,0.6538461538461539,1.0,0.7906976744186046,0.0
mmgkzukxb91bym,random,Ph 3,0.4334600760456273,0.4334600760456273,1.0,0.6047745358090185,0.0
mmgkzukxb91bym,random,Ph 4,0.5433962264150943,0.5433962264150943,1.0,0.7041564792176039,0.0
mmgkzukxb91bym,bias,Full,0.4696394686907021,0.0,0.0,0.0,0.0
mmgkzukxb91bym,bias,Ph 1,0.5075187969924813,0.0,0.0,0.0,0.0
mmgkzukxb91bym,bias,Ph 2,0.3461538461538461,0.0,0.0,0.0,0.0
mmgkzukxb91bym,bias,Ph 3,0.5665399239543726,0.0,0.0,0.0,0.0
mmgkzukxb91bym,bias,Ph 4,0.4566037735849056,0.0,0.0,0.0,0.0
mmgkzukxb91bym,wsls,Full,0.7049335863377609,0.8502824858757062,0.5384615384615384,0.6593647316538883,0.4558571415483679
mmgkzukxb91bym,wsls,Ph 1,0.6691729323308271,0.8208955223880597,0.4198473282442748,0.5555555555555556,0.3811641550157323
mmgkzukxb91bym,wsls,Ph 2,0.5230769230769231,0.8285714285714286,0.3411764705882353,0.4833333333333333,0.2229233619397941
mmgkzukxb91bym,wsls,Ph 3,0.8060836501901141,0.8620689655172413,0.6578947368421053,0.746268656716418,0.608099512445104
mmgkzukxb91bym,wsls,Ph 4,0.8188679245283019,0.8692307692307693,0.7847222222222222,0.8248175182481752,0.6419095812259135
mmgkzukxb91bym,generalized_matching_law,Full,0.6385199240986718,0.6421725239616614,0.7191413237924866,0.6784810126582278,0.270947892222913
mmgkzukxb91bym,generalized_matching_law,Ph 1,0.5902255639097744,0.569620253164557,0.6870229007633588,0.6228373702422145,0.1866251016216363
mmgkzukxb91bym,generalized_matching_law,Ph 2,0.6730769230769231,0.6666666666666666,1.0,0.8,0.1924500897298752
mmgkzukxb91bym,generalized_matching_law,Ph 3,0.6577946768060836,0.6714285714285714,0.4122807017543859,0.5108695652173914,0.2892011521358582
mmgkzukxb91bym,generalized_matching_law,Ph 4,0.6339622641509434,0.6643356643356644,0.6597222222222222,0.662020905923345,0.2628621113931694
mmgkzukxb91bym,melioration,Full,0.7324478178368121,0.7742574257425743,0.6994633273703041,0.7349624060150376,0.4687031742269327
mmgkzukxb91bym,melioration,Ph 1,0.7631578947368421,0.788135593220339,0.7099236641221374,0.7469879518072289,0.5280482197538285
mmgkzukxb91bym,melioration,Ph 2,0.8346153846153846,0.8009478672985783,0.9941176470588236,0.8871391076115486,0.6416357472330803
mmgkzukxb91bym,melioration,Ph 3,0.7186311787072244,0.8448275862068966,0.4298245614035088,0.5697674418604651,0.4415473096682957
mmgkzukxb91bym,melioration,Ph 4,0.6150943396226415,0.6779661016949152,0.5555555555555556,0.6106870229007634,0.2420483513559636
mmgkzukxb91bym,kinetic,Full,0.6404174573055028,0.6973684210526315,0.5688729874776386,0.6266009852216748,0.2922139368047931
mmgkzukxb91bym,kinetic,Ph 1,0.7030075187969925,0.8023255813953488,0.5267175572519084,0.6359447004608295,0.4283864234916281
mmgkzukxb91bym,kinetic,Ph 2,0.6884615384615385,0.678714859437751,0.9941176470588236,0.8066825775656324,0.248704786981262
mmgkzukxb91bym,kinetic,Ph 3,0.623574144486692,0.7142857142857143,0.219298245614035,0.3355704697986577,0.222030962647628
mmgkzukxb91bym,kinetic,Ph 4,0.5471698113207547,0.6395348837209303,0.3819444444444444,0.4782608695652174,0.1337804662580711
mmgkzukxb91bym,behavioral_momentum,Full,0.6385199240986718,0.7069767441860465,0.5438282647584973,0.6147623862487361,0.2937680824964719
mmgkzukxb91bym,behavioral_momentum,Ph 1,0.7142857142857143,0.8873239436619719,0.4809160305343511,0.6237623762376238,0.4765573048621805
mmgkzukxb91bym,behavioral_momentum,Ph 2,0.6615384615384615,0.66015625,0.9941176470588236,0.7934272300469484,0.1061093359533956
mmgkzukxb91bym,behavioral_momentum,Ph 3,0.5817490494296578,0.5833333333333334,0.1228070175438596,0.2028985507246377,0.0958387200995775
mmgkzukxb91bym,behavioral_momentum,Ph 4,0.5962264150943396,0.7341772151898734,0.4027777777777778,0.5201793721973094,0.249611224960617
mmgkzukxb91bym,hill_climbing,Full,0.7647058823529411,0.8055009823182712,0.7334525939177102,0.7677902621722846,0.5327791152815021
mmgkzukxb91bym,hill_climbing,Ph 1,0.8421052631578947,0.8803418803418803,0.7862595419847328,0.8306451612903226,0.6874714273726668
mmgkzukxb91bym,hill_climbing,Ph 2,0.8923076923076924,0.8817204301075269,0.9647058823529412,0.9213483146067416,0.7593876801581064
mmgkzukxb91bym,hill_climbing,Ph 3,0.7984790874524715,0.8588235294117647,0.6403508771929824,0.7336683417085427,0.5931572233376617
mmgkzukxb91bym,hill_climbing,Ph 4,0.5283018867924528,0.5785123966942148,0.4861111111111111,0.5283018867924528,0.0646235078053259
mmgkzukxb91bym,q_learning,Full,0.7324478178368121,0.7742574257425743,0.6994633273703041,0.7349624060150376,0.4687031742269327
mmgkzukxb91bym,q_learning,Ph 1,0.7631578947368421,0.788135593220339,0.7099236641221374,0.7469879518072289,0.5280482197538285
mmgkzukxb91bym,q_learning,Ph 2,0.8346153846153846,0.8009478672985783,0.9941176470588236,0.8871391076115486,0.6416357472330803
